"区分","市町村別状況別卒業者数（男女計）_計","市町村別状況別卒業者数（男女計）_Ａ　大学等進学者","市町村別状況別卒業者数（男女計）_Ａ　大学等進学者_うち通信教育部を除く","市町村別状況別卒業者数（男女計）_Ｂ　専修学校（専門課程）進学者","市町村別状況別卒業者数（男女計）_Ｃ　専修学校（一般課程）等入学者","市町村別状況別卒業者数（男女計）_Ｄ　公共職業　能力開発施　設等入学者","市町村別状況別卒業者数（男女計）_就職者_正規の　職員等","市町村別状況別卒業者数（男女計）_就職者_正規の　職員等　でない者","市町村別状況別卒業者数（男女計）_一時的な仕事に就いた者","市町村別状況別卒業者数（男女計）_左記以外の者","市町村別状況別卒業者数（男女計）_死亡・不詳","市町村別状況別卒業者数（男女計）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_計","市町村別状況別卒業者数（男女計）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等","市町村別状況別卒業者数（男女計）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等でない者","市町村別状況別卒業者数（男）_計","市町村別状況別卒業者数（男）_Ａ　大学等進学者","市町村別状況別卒業者数（男）_Ａ　大学等進学者_うち通信教育部を除く","市町村別状況別卒業者数（男）_Ｂ　専修学校（専門課程）進学者","市町村別状況別卒業者数（男）_Ｃ　専修学校（一般課程）等入学者","市町村別状況別卒業者数（男）_Ｄ　公共職業　能力開発施　設等入学者","市町村別状況別卒業者数（男）_就職者_正規の　職員等","市町村別状況別卒業者数（男）_就職者_正規の　職員等　でない者","市町村別状況別卒業者数（男）_一時的な仕事に就いた者","市町村別状況別卒業者数（男）_左記以外の者","市町村別状況別卒業者数（男）_死亡・不詳","市町村別状況別卒業者数（男）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_計","市町村別状況別卒業者数（男）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等","市町村別状況別卒業者数（男）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等でない者","市町村別状況別卒業者数（女）_計","市町村別状況別卒業者数（女）_Ａ　大学等進学者","市町村別状況別卒業者数（女）_Ａ　大学等進学者_うち通信教育部を除く","市町村別状況別卒業者数（女）_Ｂ　専修学校（専門課程）進学者","市町村別状況別卒業者数（女）_Ｃ　専修学校（一般課程）等入学者","市町村別状況別卒業者数（女）_Ｄ　公共職業　能力開発施　設等入学者","市町村別状況別卒業者数（女）_就職者_正規の　職員等","市町村別状況別卒業者数（女）_就職者_正規の　職員等　でない者","市町村別状況別卒業者数（女）_一時的な仕事に就いた者","市町村別状況別卒業者数（女）_左記以外の者","市町村別状況別卒業者数（女）_死亡・不詳","市町村別状況別卒業者数（女）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_計","市町村別状況別卒業者数（女）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等","市町村別状況別卒業者数（女）_Ａ,Ｂ,Ｃ,Ｄのうち　　　　　　　就職している者（再掲）_正規の職員等でない者","市町村別進学率･卒業者に占める就職者の割合（％）_計_Ａ　大学等進学率","市町村別進学率･卒業者に占める就職者の割合（％）_計_Ａ　大学等進学率_通信除く","市町村別進学率･卒業者に占める就職者の割合（％）_計_Ｂ　専修学校（専門課程）進学率","市町村別進学率･卒業者に占める就職者の割合（％）_計_卒業者に占める就職者の割合","市町村別進学率･卒業者に占める就職者の割合（％）_男_Ａ　大学等進学率","市町村別進学率･卒業者に占める就職者の割合（％）_男_Ａ　大学等進学率_通信除く","市町村別進学率･卒業者に占める就職者の割合（％）_男_Ｂ　専修学校（専門課程）進学率","市町村別進学率･卒業者に占める就職者の割合（％）_男_卒業者に占める就職者の割合","市町村別進学率･卒業者に占める就職者の割合（％）_女_Ａ　大学等進学率","市町村別進学率･卒業者に占める就職者の割合（％）_女_Ａ　大学等進学率_通信除く","市町村別進学率･卒業者に占める就職者の割合（％）_女_Ｂ　専修学校（専門課程）進学率","市町村別進学率･卒業者に占める就職者の割合（％）_女_卒業者に占める就職者の割合"
"県計  ","9102.0","4333.0","4331.0","1729.0","489.0","52.0","1939.0","45.0","90.0","425.0","0.0","6.0","6.0","0.0","4567.0","2051.0","2050.0","724.0","310.0","47.0","1171.0","11.0","25.0","228.0","0.0","1.0","1.0","0.0","4535.0","2282.0","2281.0","1005.0","179.0","5.0","768.0","34.0","65.0","197.0","0.0","5.0","5.0","0.0","47.6049219951659","47.582948802461","18.9958250933861","21.8633267413755","44.9091307203854","44.88723450843","15.8528574556602","25.9032187431574","50.3197353914002","50.2976846747519","22.1609702315325","17.7949283351709"
"和歌山市","3937.0","2116.0","2116.0","627.0","340.0","16.0","666.0","13.0","24.0","135.0","0.0","0.0","0.0","0.0","1973.0","979.0","979.0","263.0","211.0","15.0","418.0","2.0","8.0","77.0","0.0","0.0","0.0","0.0","1964.0","1137.0","1137.0","364.0","129.0","1.0","248.0","11.0","16.0","58.0","0.0","0.0","0.0","0.0","53.746507493015","53.746507493015","15.9258318516637","17.246634493269","49.6198682209833","49.6198682209833","13.3299543841865","21.2873796249366","57.8920570264766","57.8920570264766","18.5336048879837","13.1873727087576"
"海南市","332.0","149.0","149.0","83.0","16.0","0.0","57.0","6.0","7.0","14.0","0.0","0.0","0.0","0.0","138.0","66.0","66.0","26.0","16.0","0.0","26.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","194.0","83.0","83.0","57.0","0.0","0.0","31.0","4.0","7.0","12.0","0.0","0.0","0.0","0.0","44.8795180722892","44.8795180722892","25.0","18.9759036144578","47.8260869565217","47.8260869565217","18.8405797101449","20.2898550724638","42.7835051546392","42.7835051546392","29.3814432989691","18.0412371134021"
"橋本市","625.0","348.0","348.0","84.0","36.0","1.0","137.0","0.0","7.0","12.0","0.0","0.0","0.0","0.0","370.0","183.0","183.0","46.0","24.0","1.0","107.0","0.0","2.0","7.0","0.0","0.0","0.0","0.0","255.0","165.0","165.0","38.0","12.0","0.0","30.0","0.0","5.0","5.0","0.0","0.0","0.0","0.0","55.68","55.68","13.44","21.92","49.4594594594595","49.4594594594595","12.4324324324324","28.9189189189189","64.7058823529412","64.7058823529412","14.9019607843137","11.7647058823529"
"有田市","265.0","68.0","68.0","70.0","2.0","2.0","111.0","6.0","3.0","3.0","0.0","1.0","1.0","0.0","134.0","35.0","35.0","29.0","0.0","2.0","66.0","0.0","2.0","0.0","0.0","1.0","1.0","0.0","131.0","33.0","33.0","41.0","2.0","0.0","45.0","6.0","1.0","3.0","0.0","0.0","0.0","0.0","25.6603773584906","25.6603773584906","26.4150943396226","44.5283018867925","26.1194029850746","26.1194029850746","21.6417910447761","50.0","25.1908396946565","25.1908396946565","31.2977099236641","38.9312977099237"
"御坊市","446.0","211.0","211.0","89.0","0.0","3.0","90.0","2.0","8.0","43.0","0.0","0.0","0.0","0.0","227.0","97.0","97.0","32.0","0.0","3.0","56.0","1.0","2.0","36.0","0.0","0.0","0.0","0.0","219.0","114.0","114.0","57.0","0.0","0.0","34.0","1.0","6.0","7.0","0.0","0.0","0.0","0.0","47.3094170403587","47.3094170403587","19.9551569506726","20.627802690583","42.7312775330396","42.7312775330396","14.0969162995595","25.1101321585903","52.054794520548","52.054794520548","26.027397260274","15.9817351598174"
"田辺市","842.0","343.0","343.0","174.0","31.0","12.0","215.0","10.0","7.0","50.0","0.0","0.0","0.0","0.0","445.0","139.0","139.0","79.0","24.0","12.0","156.0","3.0","4.0","28.0","0.0","0.0","0.0","0.0","397.0","204.0","204.0","95.0","7.0","0.0","59.0","7.0","3.0","22.0","0.0","0.0","0.0","0.0","40.7363420427553","40.7363420427553","20.6650831353919","26.7220902612827","31.2359550561798","31.2359550561798","17.752808988764","35.7303370786517","51.3853904282116","51.3853904282116","23.9294710327456","16.624685138539"
"新宮市","514.0","278.0","277.0","79.0","6.0","2.0","109.0","3.0","9.0","28.0","0.0","5.0","5.0","0.0","264.0","160.0","160.0","30.0","3.0","2.0","59.0","0.0","1.0","9.0","0.0","0.0","0.0","0.0","250.0","118.0","117.0","49.0","3.0","0.0","50.0","3.0","8.0","19.0","0.0","5.0","5.0","0.0","54.0856031128405","53.8910505836576","15.3696498054475","22.7626459143969","60.6060606060606","60.6060606060606","11.3636363636364","22.3484848484848","47.2","46.8","19.6","23.2"
"紀の川市","461.0","158.0","158.0","157.0","4.0","1.0","104.0","0.0","19.0","18.0","0.0","0.0","0.0","0.0","220.0","76.0","76.0","74.0","2.0","1.0","51.0","0.0","6.0","10.0","0.0","0.0","0.0","0.0","241.0","82.0","82.0","83.0","2.0","0.0","53.0","0.0","13.0","8.0","0.0","0.0","0.0","0.0","34.2733188720174","34.2733188720174","34.056399132321","22.5596529284165","34.5454545454546","34.5454545454546","33.6363636363636","23.1818181818182","34.0248962655602","34.0248962655602","34.4398340248963","21.9917012448133"
"岩出市","356.0","242.0","242.0","62.0","0.0","0.0","20.0","0.0","0.0","32.0","0.0","0.0","0.0","0.0","185.0","137.0","137.0","16.0","0.0","0.0","8.0","0.0","0.0","24.0","0.0","0.0","0.0","0.0","171.0","105.0","105.0","46.0","0.0","0.0","12.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","67.9775280898877","67.9775280898877","17.4157303370787","5.61797752808989","74.0540540540541","74.0540540540541","8.64864864864865","4.32432432432432","61.4035087719298","61.4035087719298","26.9005847953216","7.01754385964912"
